"","Local Health Area","Year","Gender","Total"
"75","Mission","1986","M","13477"
"75","Mission","1986","F","12680"
"75","Mission","1986","T","26157"
"75","Mission","1987","M","13686"
"75","Mission","1987","F","12923"
"75","Mission","1987","T","26609"
"75","Mission","1988","M","14185"
"75","Mission","1988","F","13441"
"75","Mission","1988","T","27626"
"75","Mission","1989","M","14687"
"75","Mission","1989","F","13949"
"75","Mission","1989","T","28636"
"75","Mission","1990","M","15338"
"75","Mission","1990","F","14581"
"75","Mission","1990","T","29919"
"75","Mission","1991","M","15865"
"75","Mission","1991","F","15053"
"75","Mission","1991","T","30918"
"75","Mission","1992","M","16509"
"75","Mission","1992","F","15694"
"75","Mission","1992","T","32203"
"75","Mission","1993","M","17156"
"75","Mission","1993","F","16316"
"75","Mission","1993","T","33472"
"75","Mission","1994","M","17744"
"75","Mission","1994","F","16852"
"75","Mission","1994","T","34596"
"75","Mission","1995","M","18180"
"75","Mission","1995","F","17236"
"75","Mission","1995","T","35416"
"75","Mission","1996","M","18508"
"75","Mission","1996","F","17597"
"75","Mission","1996","T","36105"
"75","Mission","1997","M","18730"
"75","Mission","1997","F","17818"
"75","Mission","1997","T","36548"
"75","Mission","1998","M","18770"
"75","Mission","1998","F","17885"
"75","Mission","1998","T","36655"
"75","Mission","1999","M","18781"
"75","Mission","1999","F","17917"
"75","Mission","1999","T","36698"
"75","Mission","2000","M","18729"
"75","Mission","2000","F","17883"
"75","Mission","2000","T","36612"
"75","Mission","2001","M","18915"
"75","Mission","2001","F","18069"
"75","Mission","2001","T","36984"
"75","Mission","2002","M","19034"
"75","Mission","2002","F","18201"
"75","Mission","2002","T","37235"
"75","Mission","2003","M","19349"
"75","Mission","2003","F","18490"
"75","Mission","2003","T","37839"
"75","Mission","2004","M","19825"
"75","Mission","2004","F","18933"
"75","Mission","2004","T","38758"
"75","Mission","2005","M","20350"
"75","Mission","2005","F","19362"
"75","Mission","2005","T","39712"
"75","Mission","2006","M","20756"
"75","Mission","2006","F","19723"
"75","Mission","2006","T","40479"
"75","Mission","2007","M","20879"
"75","Mission","2007","F","19912"
"75","Mission","2007","T","40791"
"75","Mission","2008","M","21077"
"75","Mission","2008","F","20156"
"75","Mission","2008","T","41233"
"75","Mission","2009","M","21318"
"75","Mission","2009","F","20274"
"75","Mission","2009","T","41592"
"75","Mission","2010","M","21374"
"75","Mission","2010","F","20399"
"75","Mission","2010","T","41773"
"75","Mission","2011","M","20938"
"75","Mission","2011","F","20172"
"75","Mission","2011","T","41110"
"75","Mission","2012","M","21319"
"75","Mission","2012","F","20444"
"75","Mission","2012","T","41763"
"75","Mission","2013","M","21557"
"75","Mission","2013","F","20465"
"75","Mission","2013","T","42022"
"75","Mission","2014","M","21731"
"75","Mission","2014","F","20791"
"75","Mission","2014","T","42522"
"75","Mission","2015","M","22237"
"75","Mission","2015","F","21172"
"75","Mission","2015","T","43409"
"75","Mission","2016","M","23112"
"75","Mission","2016","F","21969"
"75","Mission","2016","T","45081"
"75","Mission","2017","M","23379"
"75","Mission","2017","F","22283"
"75","Mission","2017","T","45662"
"75","Mission","2018","M","23667"
"75","Mission","2018","F","22550"
"75","Mission","2018","T","46217"
